GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ReflectionToStringBuilder,61,302,1,39,8,76,6,40,5,21
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,CompareToBuilder,55,984,30,210,21,237,32,118,2,28
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,2,9,0,0,1,4,1,1,1,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringStyle,182,1542,27,191,42,469,43,179,16,97
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,IDKey,6,31,3,3,2,9,3,3,0,3
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,2,18,0,0,1,7,1,1,1,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,EqualsBuilder,94,934,48,186,38,227,49,103,1,34
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringBuilder,195,394,1,11,38,95,20,50,19,45
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,HashCodeBuilder,34,736,4,90,5,155,7,76,3,33
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,2,29,0,0,1,6,1,1,1,1
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,StandardToStringStyle,97,46,0,0,39,23,29,12,29,12
"commons-lang3 (1) (Apr 4, 2019 12:27:37 AM)/commons-lang3/src/main/java",org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,2,3,0,0,1,2,1,1,1,1
